"Config_File",Stanza,Setting,"Current_Value","Proposed_Value","Stanza_Description","Setting_Description"
limits,searchresults,"tocsv_maxretry",5,,,
limits,searchresults,"tocsv_retryperiod_ms",500,,,
limits,set,maxresultrows,50000,,,
limits,"show_source",distributed,TRUE,,,
limits,"show_source","distributed_search_limit",30000,,,
limits,"show_source","max_count",10000,,,
limits,"show_source","max_timeafter",1day,,,
limits,"show_source","max_timebefore",1day,,,
limits,sistats,"max_valuemap_bytes",100000,,,
limits,sistats,maxvalues,0,,,
limits,sistats,maxvaluesize,0,,,
limits,sistats,"perc_digest_type",tdigest,,,
limits,sistats,"rdigest_k",100,,,
limits,sistats,"rdigest_maxnodes",1,,,
limits,sistats,"tdigest_k",50,,,
limits,sistats,"tdigest_max_buffer_size",1000,,,
limits,slc,maxclusters,10000,,,
limits,"slow_peer_disconnect","batch_search_activation_fraction","0.9",,,
limits,"slow_peer_disconnect","bound_on_disconnect_threshold_as_fraction_of_mean","0.2",,,
limits,"slow_peer_disconnect",disabled,TRUE,,,
limits,"slow_peer_disconnect","grace_period_before_disconnect","0.1",,,
limits,"slow_peer_disconnect","packets_per_data_point",500,,,
limits,"slow_peer_disconnect",sensitivity,"0.3",,,
limits,"slow_peer_disconnect","threshold_connection_life_time",5,,,
limits,"slow_peer_disconnect","threshold_data_volume",100,,,
limits,sort,maxfiles,64,,,
limits,spath,"extract_all",TRUE,,,
limits,spath,"extraction_cutoff",5000,,,
limits,stats,"list_maxsize",100,,,
limits,stats,"max_stream_window",10000,,,
limits,stats,maxresultrows,50000,,,
limits,stats,maxvalues,0,,,
limits,stats,maxvaluesize,0,,,
limits,stats,"perc_digest_type",tdigest,,,
limits,stats,"rdigest_k",100,,,
limits,stats,"rdigest_maxnodes",1,,,
limits,stats,"tdigest_k",50,,,
limits,stats,"tdigest_max_buffer_size",1000,,,
limits,subsearch,maxout,10000,,,
limits,subsearch,maxtime,60,,,
limits,subsearch,ttl,300,,,
limits,summarize,"bucket_refresh_interval",30,,,
limits,summarize,"bucket_refresh_interval_cluster",120,,,
limits,summarize,"poll_buckets_until_maxtime",FALSE,,,
limits,"system_checks","installed_files_integrity",enabled,,,
limits,"system_checks","insufficient_search_capabilities",enabled,,,
limits,"system_checks","orphan_searches",enabled,,,
limits,thruput,maxKBps,0,,,
limits,top,maxresultrows,50000,,,
limits,top,maxvalues,0,,,
limits,top,maxvaluesize,0,,,
limits,transactions,maxopenevents,100000,,,
limits,transactions,maxopentxn,5000,,,
limits,tscollect,keepresults,FALSE,,,
limits,tscollect,"optimize_max_size_mb",256,,,
limits,tscollect,squashcase,FALSE,,,
